latitude,longitude,capacity,iday,imonth,iyear,date,city,provstate,country,country_txt,attacktype
43.258434,-2.921819,1,2,4,1984,02/04/1984,Bilbao,Basque Country,185,Spain,Assassination
54.607712,-5.95621,1,8,4,1984,08/04/1984,Belfast,Northern Ireland,603,United Kingdom,Assassination
54.607712,-5.95621,2,12,4,1984,12/04/1984,Belfast,Northern Ireland,603,United Kingdom,Assassination
54.607712,-5.95621,1,13,4,1984,13/04/1984,Belfast,Northern Ireland,603,United Kingdom,Assassination
42.815372,-1.653616,1,13,4,1984,13/04/1984,Pamplona,Navarre,185,Spain,Assassination
42.815372,-1.653616,2,13,4,1984,13/04/1984,Pamplona,Navarre,185,Spain,Bombing/Explosion
51.504387,-0.140041,1,17,4,1984,17/04/1984,London,England,603,United Kingdom,Armed Assault
55.011562,-7.312045,1,21,4,1984,21/04/1984,Londonderry,Northern Ireland,603,United Kingdom,Bombing/Explosion
55.011562,-7.312045,1,21,4,1984,21/04/1984,Londonderry,Northern Ireland,603,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,23,4,1984,23/04/1984,Belfast,Northern Ireland,603,United Kingdom,Armed Assault
55.011562,-7.312045,1,23,4,1984,23/04/1984,Londonderry,Northern Ireland,603,United Kingdom,Armed Assault
43.483152,-1.558626,1,23,4,1984,23/04/1984,Biarritz,Aquitaine,69,France,Assassination
43.258434,-2.921819,1,23,4,1984,23/04/1984,Bilbao,Basque Country,185,Spain,Assassination
54.347539,-6.656108,1,28,4,1984,28/04/1984,Armagh,Northern Ireland,603,United Kingdom,Assassination
38.752121,-9.295433,2,30,4,1984,30/04/1984,Sao Marcos,Lisbon,162,Portugal,Assassination
43.175208,-1.347473,2,3,5,1984,03/05/1984,Saint-Etienne-de-Baigorry,Aquitaine,69,France,Assassination
35.166734,33.367586,1,3,5,1984,03/05/1984,Nicosia,Nicosia,53,Cyprus,Assassination
54.607712,-5.95621,2,5,5,1984,05/05/1984,Belfast,Northern Ireland,603,United Kingdom,Assassination
54.50853,-6.763131,1,8,5,1984,08/05/1984,Dungannon,Northern Ireland,603,United Kingdom,Assassination
54.183052,-6.341388,1,9,5,1984,09/05/1984,Newry,Northern Ireland,603,United Kingdom,Bombing/Explosion
54.428873,-7.13241,1,12,5,1984,12/05/1984,Augher,Northern Ireland,603,United Kingdom,Assassination
43.362532,-1.791497,1,14,5,1984,14/05/1984,Fuenterrabia,Basque Country,185,Spain,Bombing/Explosion
54.345417,-7.636355,2,18,5,1984,18/05/1984,Enniskillen,Northern Ireland,603,United Kingdom,Assassination
54.607712,-5.95621,2,18,5,1984,18/05/1984,Belfast,Northern Ireland,603,United Kingdom,Bombing/Explosion
54.345417,-7.636355,2,19,5,1984,19/05/1984,Enniskillen,Northern Ireland,603,United Kingdom,Bombing/Explosion
54.077313,-6.608787,1,19,5,1984,19/05/1984,Crossmaglen,Northern Ireland,603,United Kingdom,Armed Assault
46.613463,11.157056,2,24,5,1984,24/05/1984,Lana,Trentino-South Tyrol,98,Italy,Bombing/Explosion
42.815372,-1.653616,1,28,5,1984,28/05/1984,Pamplona,Navarre,185,Spain,Assassination
34.707332,33.023397,1,29,5,1984,29/05/1984,Limassol,Limassol,53,Cyprus,Assassination
38.725299,-9.150036,1,29,5,1984,29/05/1984,Lisbon,Lisbon,162,Portugal,Assassination
54.347539,-6.656108,1,29,5,1984,29/05/1984,Armagh,Northern Ireland,603,United Kingdom,Bombing/Explosion
54.787715,-6.492314,1,30,5,1984,30/05/1984,Unknown,Northern Ireland,603,United Kingdom,Bombing/Explosion
54.600305,-7.298402,1,3,6,1984,03/06/1984,Omagh,Northern Ireland,603,United Kingdom,Assassination
54.461617,-6.291243,1,4,6,1984,04/06/1984,Dollingstown,Northern Ireland,603,United Kingdom,Assassination
41.930607,8.742907,2,7,6,1984,07/06/1984,Ajaccio,Corsica,69,France,Bombing/Explosion
42.815372,-1.653616,1,8,6,1984,08/06/1984,Pamplona,Navarre,185,Spain,Assassination
54.607712,-5.95621,1,9,6,1984,09/06/1984,Belfast,Northern Ireland,603,United Kingdom,Assassination
42.672479,21.163748,2,9,6,1984,09/06/1984,Pristina,Kosovo,235,Yugoslavia,Assassination
43.267549,-1.975814,1,15,6,1984,15/06/1984,Hernani,Basque Country,185,Spain,Assassination
54.607712,-5.95621,1,15,6,1984,15/06/1984,Belfast,Northern Ireland,603,United Kingdom,Armed Assault
43.291618,-1.977903,1,15,6,1984,15/06/1984,Donostia-San Sebastian,Basque Country,185,Spain,Assassination
43.362954,-2.544635,1,18,6,1984,18/06/1984,Ispaster,Basque Country,185,Spain,Assassination
43.320664,-3.020252,1,19,6,1984,19/06/1984,Portugalete,Basque Country,185,Spain,Assassination
48.208174,16.373819,1,20,6,1984,20/06/1984,Vienna,Vienna,15,Austria,Assassination
37.99749,23.762728,1,21,6,1984,21/06/1984,Athens,Attica,78,Greece,Assassination
43.320664,-3.020252,1,2,7,1984,02/07/1984,Portugalete,Basque Country,185,Spain,Assassination
37.99749,23.762728,2,4,7,1984,04/07/1984,Athens,Attica,78,Greece,Assassination
51.504387,-0.140041,1,6,7,1984,06/07/1984,London,England,603,United Kingdom,Hostage Taking (Kidnapping)
54.607712,-5.95621,1,9,7,1984,09/07/1984,Milfield,Northern Ireland,603,United Kingdom,Assassination
54.669045,-7.681662,2,14,7,1984,14/07/1984,Killeter,Northern Ireland,603,United Kingdom,Bombing/Explosion
43.365509,-2.503344,1,25,7,1984,25/07/1984,Lekeitio,Basque Country,185,Spain,Assassination
54.122472,-6.388859,1,26,7,1984,26/07/1984,Meigh,Northern Ireland,603,United Kingdom,Assassination
36.509937,-4.886352,1,5,8,1984,05/08/1984,Marbella,Andalusia,185,Spain,Assassination
54.183052,-6.341388,1,8,8,1984,08/08/1984,Newry,Northern Ireland,603,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,12,8,1984,12/08/1984,Belfast,Northern Ireland,603,United Kingdom,Bombing/Explosion
51.504387,-0.140041,1,20,8,1984,20/08/1984,London,England,603,United Kingdom,Assassination
37.38264,-5.996295,1,5,9,1984,05/09/1984,Seville,Andalusia,185,Spain,Assassination
40.465595,-3.696263,1,5,9,1984,05/09/1984,Madrid,Madrid,185,Spain,Assassination
54.50853,-6.763131,2,7,9,1984,07/09/1984,Dungannon,Northern Ireland,603,United Kingdom,Unknown
